userid,Nissin,Maruchan,MyKuali,Ve Wong,Sapporo Ichiban,Meimen,Jinbo Selection,Yumei,Mr. Noodles,Itsuki
user1,1.5,5,1,1.5,5,5,2,2,2,5
user2,,4,4,,4,2,5,2.5,5,4
user3,5,2,,1,3.5,3,4,4,,3
user4,2,,2.75,2,,2,,1.5,1,4.5
user5,,5,,,4,4,1,2,,3
user6,5,3,5,2.5,,,4.5,,4,
user7,,,4,,4,,,3.5,1,4
user8,3,4,1,2,,3.5,3,5,,5
user9,,5,,3,5,5,,4,2,
user10,5,2,3.5,,4.5,,4,,1,3
user11,2,,,1,3,2,2.5,2,4,4.5
user12,0.5,1,5,1.5,,1,2,5,1,5
user13,,4,4,2,2,,,,1,3
user14,4,5,,,5,4,2,5,3,4
user15,2,2,2,2,4,2.5,,,,
user16,5,2,5,1,,1,4,5,4,4
user17,,3,4.5,,3,5,1,2,5,
user18,4,,,,,,2,4,2.75,5
user19,2,4,2,1,2.5,2,3,,1,4
user20,3,4,4,2,2,3,1,1,4,3
